phi,theta,time,FILE
36.0,135.0,0.0,0.0/36.0_135.0_pantheon.cdb.png
72.0,0.0,0.0,0.0/72.0_0.0_pantheon.cdb.png
72.0,45.0,0.0,0.0/72.0_45.0_pantheon.cdb.png
72.0,90.0,0.0,0.0/72.0_90.0_pantheon.cdb.png
72.0,135.0,0.0,0.0/72.0_135.0_pantheon.cdb.png
108.0,0.0,0.0,0.0/108.0_0.0_pantheon.cdb.png
108.0,45.0,0.0,0.0/108.0_45.0_pantheon.cdb.png
108.0,90.0,0.0,0.0/108.0_90.0_pantheon.cdb.png
108.0,135.0,0.0,0.0/108.0_135.0_pantheon.cdb.png
144.0,0.0,0.0,0.0/144.0_0.0_pantheon.cdb.png
144.0,45.0,0.0,0.0/144.0_45.0_pantheon.cdb.png
144.0,90.0,0.0,0.0/144.0_90.0_pantheon.cdb.png
144.0,135.0,0.0,0.0/144.0_135.0_pantheon.cdb.png
-180.0,0.0,1.0,1.0/-180.0_0.0_pantheon.cdb.png
-180.0,45.0,1.0,1.0/-180.0_45.0_pantheon.cdb.png
-180.0,90.0,1.0,1.0/-180.0_90.0_pantheon.cdb.png
-180.0,135.0,1.0,1.0/-180.0_135.0_pantheon.cdb.png
-144.0,0.0,1.0,1.0/-144.0_0.0_pantheon.cdb.png
-144.0,45.0,1.0,1.0/-144.0_45.0_pantheon.cdb.png
-144.0,90.0,1.0,1.0/-144.0_90.0_pantheon.cdb.png
-144.0,135.0,1.0,1.0/-144.0_135.0_pantheon.cdb.png
-108.0,0.0,1.0,1.0/-108.0_0.0_pantheon.cdb.png
-108.0,45.0,1.0,1.0/-108.0_45.0_pantheon.cdb.png
-108.0,90.0,1.0,1.0/-108.0_90.0_pantheon.cdb.png
-108.0,135.0,1.0,1.0/-108.0_135.0_pantheon.cdb.png
-72.0,0.0,1.0,1.0/-72.0_0.0_pantheon.cdb.png
-72.0,45.0,1.0,1.0/-72.0_45.0_pantheon.cdb.png
-72.0,90.0,1.0,1.0/-72.0_90.0_pantheon.cdb.png
-72.0,135.0,1.0,1.0/-72.0_135.0_pantheon.cdb.png
-36.0,0.0,1.0,1.0/-36.0_0.0_pantheon.cdb.png
-36.0,45.0,1.0,1.0/-36.0_45.0_pantheon.cdb.png
-36.0,90.0,1.0,1.0/-36.0_90.0_pantheon.cdb.png
-36.0,135.0,1.0,1.0/-36.0_135.0_pantheon.cdb.png
0.0,0.0,1.0,1.0/0.0_0.0_pantheon.cdb.png
0.0,45.0,1.0,1.0/0.0_45.0_pantheon.cdb.png
0.0,90.0,1.0,1.0/0.0_90.0_pantheon.cdb.png
0.0,135.0,1.0,1.0/0.0_135.0_pantheon.cdb.png
36.0,0.0,1.0,1.0/36.0_0.0_pantheon.cdb.png
36.0,45.0,1.0,1.0/36.0_45.0_pantheon.cdb.png
36.0,90.0,1.0,1.0/36.0_90.0_pantheon.cdb.png
36.0,135.0,1.0,1.0/36.0_135.0_pantheon.cdb.png
72.0,0.0,1.0,1.0/72.0_0.0_pantheon.cdb.png
72.0,45.0,1.0,1.0/72.0_45.0_pantheon.cdb.png
72.0,90.0,1.0,1.0/72.0_90.0_pantheon.cdb.png
72.0,135.0,1.0,1.0/72.0_135.0_pantheon.cdb.png
108.0,0.0,1.0,1.0/108.0_0.0_pantheon.cdb.png
108.0,45.0,1.0,1.0/108.0_45.0_pantheon.cdb.png
108.0,90.0,1.0,1.0/108.0_90.0_pantheon.cdb.png
108.0,135.0,1.0,1.0/108.0_135.0_pantheon.cdb.png
144.0,0.0,1.0,1.0/144.0_0.0_pantheon.cdb.png
144.0,45.0,1.0,1.0/144.0_45.0_pantheon.cdb.png
144.0,90.0,1.0,1.0/144.0_90.0_pantheon.cdb.png
144.0,135.0,1.0,1.0/144.0_135.0_pantheon.cdb.png
-180.0,0.0,2.0,2.0/-180.0_0.0_pantheon.cdb.png
-180.0,45.0,2.0,2.0/-180.0_45.0_pantheon.cdb.png
-180.0,90.0,2.0,2.0/-180.0_90.0_pantheon.cdb.png
-180.0,135.0,2.0,2.0/-180.0_135.0_pantheon.cdb.png
-144.0,0.0,2.0,2.0/-144.0_0.0_pantheon.cdb.png
-144.0,45.0,2.0,2.0/-144.0_45.0_pantheon.cdb.png
-144.0,90.0,2.0,2.0/-144.0_90.0_pantheon.cdb.png
-144.0,135.0,2.0,2.0/-144.0_135.0_pantheon.cdb.png
-108.0,0.0,2.0,2.0/-108.0_0.0_pantheon.cdb.png
-108.0,45.0,2.0,2.0/-108.0_45.0_pantheon.cdb.png
-108.0,90.0,2.0,2.0/-108.0_90.0_pantheon.cdb.png
-108.0,135.0,2.0,2.0/-108.0_135.0_pantheon.cdb.png
-72.0,0.0,2.0,2.0/-72.0_0.0_pantheon.cdb.png
-72.0,45.0,2.0,2.0/-72.0_45.0_pantheon.cdb.png
-72.0,90.0,2.0,2.0/-72.0_90.0_pantheon.cdb.png
-72.0,135.0,2.0,2.0/-72.0_135.0_pantheon.cdb.png
-36.0,0.0,2.0,2.0/-36.0_0.0_pantheon.cdb.png
-36.0,45.0,2.0,2.0/-36.0_45.0_pantheon.cdb.png
-36.0,90.0,2.0,2.0/-36.0_90.0_pantheon.cdb.png
-36.0,135.0,2.0,2.0/-36.0_135.0_pantheon.cdb.png
0.0,0.0,2.0,2.0/0.0_0.0_pantheon.cdb.png
0.0,45.0,2.0,2.0/0.0_45.0_pantheon.cdb.png
0.0,90.0,2.0,2.0/0.0_90.0_pantheon.cdb.png
0.0,135.0,2.0,2.0/0.0_135.0_pantheon.cdb.png
36.0,0.0,2.0,2.0/36.0_0.0_pantheon.cdb.png
36.0,45.0,2.0,2.0/36.0_45.0_pantheon.cdb.png
36.0,90.0,2.0,2.0/36.0_90.0_pantheon.cdb.png
36.0,135.0,2.0,2.0/36.0_135.0_pantheon.cdb.png
72.0,0.0,2.0,2.0/72.0_0.0_pantheon.cdb.png
72.0,45.0,2.0,2.0/72.0_45.0_pantheon.cdb.png
72.0,90.0,2.0,2.0/72.0_90.0_pantheon.cdb.png
72.0,135.0,2.0,2.0/72.0_135.0_pantheon.cdb.png
108.0,0.0,2.0,2.0/108.0_0.0_pantheon.cdb.png
108.0,45.0,2.0,2.0/108.0_45.0_pantheon.cdb.png
108.0,90.0,2.0,2.0/108.0_90.0_pantheon.cdb.png
108.0,135.0,2.0,2.0/108.0_135.0_pantheon.cdb.png
144.0,0.0,2.0,2.0/144.0_0.0_pantheon.cdb.png
144.0,45.0,2.0,2.0/144.0_45.0_pantheon.cdb.png
144.0,90.0,2.0,2.0/144.0_90.0_pantheon.cdb.png
144.0,135.0,2.0,2.0/144.0_135.0_pantheon.cdb.png
-180.0,0.0,3.0,3.0/-180.0_0.0_pantheon.cdb.png
-180.0,45.0,3.0,3.0/-180.0_45.0_pantheon.cdb.png
-180.0,90.0,3.0,3.0/-180.0_90.0_pantheon.cdb.png
-180.0,135.0,3.0,3.0/-180.0_135.0_pantheon.cdb.png
-144.0,0.0,3.0,3.0/-144.0_0.0_pantheon.cdb.png
-144.0,45.0,3.0,3.0/-144.0_45.0_pantheon.cdb.png
-144.0,90.0,3.0,3.0/-144.0_90.0_pantheon.cdb.png
-144.0,135.0,3.0,3.0/-144.0_135.0_pantheon.cdb.png
-108.0,0.0,3.0,3.0/-108.0_0.0_pantheon.cdb.png
-108.0,45.0,3.0,3.0/-108.0_45.0_pantheon.cdb.png
-108.0,90.0,3.0,3.0/-108.0_90.0_pantheon.cdb.png
-108.0,135.0,3.0,3.0/-108.0_135.0_pantheon.cdb.png
-72.0,0.0,3.0,3.0/-72.0_0.0_pantheon.cdb.png
-72.0,45.0,3.0,3.0/-72.0_45.0_pantheon.cdb.png
-72.0,90.0,3.0,3.0/-72.0_90.0_pantheon.cdb.png
-72.0,135.0,3.0,3.0/-72.0_135.0_pantheon.cdb.png
-36.0,0.0,3.0,3.0/-36.0_0.0_pantheon.cdb.png
-36.0,45.0,3.0,3.0/-36.0_45.0_pantheon.cdb.png
-36.0,90.0,3.0,3.0/-36.0_90.0_pantheon.cdb.png
-36.0,135.0,3.0,3.0/-36.0_135.0_pantheon.cdb.png
0.0,0.0,3.0,3.0/0.0_0.0_pantheon.cdb.png
0.0,45.0,3.0,3.0/0.0_45.0_pantheon.cdb.png
0.0,90.0,3.0,3.0/0.0_90.0_pantheon.cdb.png
0.0,135.0,3.0,3.0/0.0_135.0_pantheon.cdb.png
36.0,0.0,3.0,3.0/36.0_0.0_pantheon.cdb.png
36.0,45.0,3.0,3.0/36.0_45.0_pantheon.cdb.png
36.0,90.0,3.0,3.0/36.0_90.0_pantheon.cdb.png
36.0,135.0,3.0,3.0/36.0_135.0_pantheon.cdb.png
72.0,0.0,3.0,3.0/72.0_0.0_pantheon.cdb.png
72.0,45.0,3.0,3.0/72.0_45.0_pantheon.cdb.png
72.0,90.0,3.0,3.0/72.0_90.0_pantheon.cdb.png
72.0,135.0,3.0,3.0/72.0_135.0_pantheon.cdb.png
108.0,0.0,3.0,3.0/108.0_0.0_pantheon.cdb.png
108.0,45.0,3.0,3.0/108.0_45.0_pantheon.cdb.png
108.0,90.0,3.0,3.0/108.0_90.0_pantheon.cdb.png
108.0,135.0,3.0,3.0/108.0_135.0_pantheon.cdb.png
144.0,0.0,3.0,3.0/144.0_0.0_pantheon.cdb.png
144.0,45.0,3.0,3.0/144.0_45.0_pantheon.cdb.png
144.0,90.0,3.0,3.0/144.0_90.0_pantheon.cdb.png
144.0,135.0,3.0,3.0/144.0_135.0_pantheon.cdb.png
-180.0,0.0,4.0,4.0/-180.0_0.0_pantheon.cdb.png
-180.0,45.0,4.0,4.0/-180.0_45.0_pantheon.cdb.png
-180.0,90.0,4.0,4.0/-180.0_90.0_pantheon.cdb.png
-180.0,135.0,4.0,4.0/-180.0_135.0_pantheon.cdb.png
-144.0,0.0,4.0,4.0/-144.0_0.0_pantheon.cdb.png
-144.0,45.0,4.0,4.0/-144.0_45.0_pantheon.cdb.png
-144.0,90.0,4.0,4.0/-144.0_90.0_pantheon.cdb.png
-144.0,135.0,4.0,4.0/-144.0_135.0_pantheon.cdb.png
-108.0,0.0,4.0,4.0/-108.0_0.0_pantheon.cdb.png
-108.0,45.0,4.0,4.0/-108.0_45.0_pantheon.cdb.png
-108.0,90.0,4.0,4.0/-108.0_90.0_pantheon.cdb.png
-108.0,135.0,4.0,4.0/-108.0_135.0_pantheon.cdb.png
-72.0,0.0,4.0,4.0/-72.0_0.0_pantheon.cdb.png
-72.0,45.0,4.0,4.0/-72.0_45.0_pantheon.cdb.png
-72.0,90.0,4.0,4.0/-72.0_90.0_pantheon.cdb.png
-72.0,135.0,4.0,4.0/-72.0_135.0_pantheon.cdb.png
-36.0,0.0,4.0,4.0/-36.0_0.0_pantheon.cdb.png
-36.0,45.0,4.0,4.0/-36.0_45.0_pantheon.cdb.png
-36.0,90.0,4.0,4.0/-36.0_90.0_pantheon.cdb.png
-36.0,135.0,4.0,4.0/-36.0_135.0_pantheon.cdb.png
0.0,0.0,4.0,4.0/0.0_0.0_pantheon.cdb.png
0.0,45.0,4.0,4.0/0.0_45.0_pantheon.cdb.png
0.0,90.0,4.0,4.0/0.0_90.0_pantheon.cdb.png
0.0,135.0,4.0,4.0/0.0_135.0_pantheon.cdb.png
36.0,0.0,4.0,4.0/36.0_0.0_pantheon.cdb.png
36.0,45.0,4.0,4.0/36.0_45.0_pantheon.cdb.png
36.0,90.0,4.0,4.0/36.0_90.0_pantheon.cdb.png
36.0,135.0,4.0,4.0/36.0_135.0_pantheon.cdb.png
72.0,0.0,4.0,4.0/72.0_0.0_pantheon.cdb.png
72.0,45.0,4.0,4.0/72.0_45.0_pantheon.cdb.png
72.0,90.0,4.0,4.0/72.0_90.0_pantheon.cdb.png
72.0,135.0,4.0,4.0/72.0_135.0_pantheon.cdb.png
108.0,0.0,4.0,4.0/108.0_0.0_pantheon.cdb.png
108.0,45.0,4.0,4.0/108.0_45.0_pantheon.cdb.png
108.0,90.0,4.0,4.0/108.0_90.0_pantheon.cdb.png
108.0,135.0,4.0,4.0/108.0_135.0_pantheon.cdb.png
144.0,0.0,4.0,4.0/144.0_0.0_pantheon.cdb.png
144.0,45.0,4.0,4.0/144.0_45.0_pantheon.cdb.png
144.0,90.0,4.0,4.0/144.0_90.0_pantheon.cdb.png
144.0,135.0,4.0,4.0/144.0_135.0_pantheon.cdb.png
-180.0,0.0,5.0,5.0/-180.0_0.0_pantheon.cdb.png
-180.0,45.0,5.0,5.0/-180.0_45.0_pantheon.cdb.png
-180.0,90.0,5.0,5.0/-180.0_90.0_pantheon.cdb.png
-180.0,135.0,5.0,5.0/-180.0_135.0_pantheon.cdb.png
-144.0,0.0,5.0,5.0/-144.0_0.0_pantheon.cdb.png
-144.0,45.0,5.0,5.0/-144.0_45.0_pantheon.cdb.png
-144.0,90.0,5.0,5.0/-144.0_90.0_pantheon.cdb.png
-144.0,135.0,5.0,5.0/-144.0_135.0_pantheon.cdb.png
-108.0,0.0,5.0,5.0/-108.0_0.0_pantheon.cdb.png
-108.0,45.0,5.0,5.0/-108.0_45.0_pantheon.cdb.png
-108.0,90.0,5.0,5.0/-108.0_90.0_pantheon.cdb.png
-108.0,135.0,5.0,5.0/-108.0_135.0_pantheon.cdb.png
-72.0,0.0,5.0,5.0/-72.0_0.0_pantheon.cdb.png
-72.0,45.0,5.0,5.0/-72.0_45.0_pantheon.cdb.png
-72.0,90.0,5.0,5.0/-72.0_90.0_pantheon.cdb.png
-72.0,135.0,5.0,5.0/-72.0_135.0_pantheon.cdb.png
-36.0,0.0,5.0,5.0/-36.0_0.0_pantheon.cdb.png
-36.0,45.0,5.0,5.0/-36.0_45.0_pantheon.cdb.png
-36.0,90.0,5.0,5.0/-36.0_90.0_pantheon.cdb.png
-36.0,135.0,5.0,5.0/-36.0_135.0_pantheon.cdb.png
0.0,0.0,5.0,5.0/0.0_0.0_pantheon.cdb.png
0.0,45.0,5.0,5.0/0.0_45.0_pantheon.cdb.png
0.0,90.0,5.0,5.0/0.0_90.0_pantheon.cdb.png
0.0,135.0,5.0,5.0/0.0_135.0_pantheon.cdb.png
36.0,0.0,5.0,5.0/36.0_0.0_pantheon.cdb.png
36.0,45.0,5.0,5.0/36.0_45.0_pantheon.cdb.png
36.0,90.0,5.0,5.0/36.0_90.0_pantheon.cdb.png
36.0,135.0,5.0,5.0/36.0_135.0_pantheon.cdb.png
72.0,0.0,5.0,5.0/72.0_0.0_pantheon.cdb.png
72.0,45.0,5.0,5.0/72.0_45.0_pantheon.cdb.png
72.0,90.0,5.0,5.0/72.0_90.0_pantheon.cdb.png
72.0,135.0,5.0,5.0/72.0_135.0_pantheon.cdb.png
108.0,0.0,5.0,5.0/108.0_0.0_pantheon.cdb.png
108.0,45.0,5.0,5.0/108.0_45.0_pantheon.cdb.png
108.0,90.0,5.0,5.0/108.0_90.0_pantheon.cdb.png
108.0,135.0,5.0,5.0/108.0_135.0_pantheon.cdb.png
144.0,0.0,5.0,5.0/144.0_0.0_pantheon.cdb.png
144.0,45.0,5.0,5.0/144.0_45.0_pantheon.cdb.png
144.0,90.0,5.0,5.0/144.0_90.0_pantheon.cdb.png
144.0,135.0,5.0,5.0/144.0_135.0_pantheon.cdb.png
-180.0,0.0,6.0,6.0/-180.0_0.0_pantheon.cdb.png
-180.0,45.0,6.0,6.0/-180.0_45.0_pantheon.cdb.png
-180.0,90.0,6.0,6.0/-180.0_90.0_pantheon.cdb.png
-180.0,135.0,6.0,6.0/-180.0_135.0_pantheon.cdb.png
-144.0,0.0,6.0,6.0/-144.0_0.0_pantheon.cdb.png
-144.0,45.0,6.0,6.0/-144.0_45.0_pantheon.cdb.png
-144.0,90.0,6.0,6.0/-144.0_90.0_pantheon.cdb.png
-144.0,135.0,6.0,6.0/-144.0_135.0_pantheon.cdb.png
-108.0,0.0,6.0,6.0/-108.0_0.0_pantheon.cdb.png
-108.0,45.0,6.0,6.0/-108.0_45.0_pantheon.cdb.png
-108.0,90.0,6.0,6.0/-108.0_90.0_pantheon.cdb.png
-108.0,135.0,6.0,6.0/-108.0_135.0_pantheon.cdb.png
-72.0,0.0,6.0,6.0/-72.0_0.0_pantheon.cdb.png
-72.0,45.0,6.0,6.0/-72.0_45.0_pantheon.cdb.png
-72.0,90.0,6.0,6.0/-72.0_90.0_pantheon.cdb.png
-72.0,135.0,6.0,6.0/-72.0_135.0_pantheon.cdb.png
-36.0,0.0,6.0,6.0/-36.0_0.0_pantheon.cdb.png
-36.0,45.0,6.0,6.0/-36.0_45.0_pantheon.cdb.png
-36.0,90.0,6.0,6.0/-36.0_90.0_pantheon.cdb.png
-36.0,135.0,6.0,6.0/-36.0_135.0_pantheon.cdb.png
0.0,0.0,6.0,6.0/0.0_0.0_pantheon.cdb.png
0.0,45.0,6.0,6.0/0.0_45.0_pantheon.cdb.png
0.0,90.0,6.0,6.0/0.0_90.0_pantheon.cdb.png
0.0,135.0,6.0,6.0/0.0_135.0_pantheon.cdb.png
36.0,0.0,6.0,6.0/36.0_0.0_pantheon.cdb.png
36.0,45.0,6.0,6.0/36.0_45.0_pantheon.cdb.png
36.0,90.0,6.0,6.0/36.0_90.0_pantheon.cdb.png
36.0,135.0,6.0,6.0/36.0_135.0_pantheon.cdb.png
72.0,0.0,6.0,6.0/72.0_0.0_pantheon.cdb.png
72.0,45.0,6.0,6.0/72.0_45.0_pantheon.cdb.png
72.0,90.0,6.0,6.0/72.0_90.0_pantheon.cdb.png
72.0,135.0,6.0,6.0/72.0_135.0_pantheon.cdb.png
108.0,0.0,6.0,6.0/108.0_0.0_pantheon.cdb.png
108.0,45.0,6.0,6.0/108.0_45.0_pantheon.cdb.png
108.0,90.0,6.0,6.0/108.0_90.0_pantheon.cdb.png
108.0,135.0,6.0,6.0/108.0_135.0_pantheon.cdb.png
144.0,0.0,6.0,6.0/144.0_0.0_pantheon.cdb.png
144.0,45.0,6.0,6.0/144.0_45.0_pantheon.cdb.png
144.0,90.0,6.0,6.0/144.0_90.0_pantheon.cdb.png
144.0,135.0,6.0,6.0/144.0_135.0_pantheon.cdb.png
